,High,Low,Medium
high,-0.0002821670428894141,0.0009631770022968666,0.00020708221163801
1,0.0,0.0,0.0
come,0.0,0.00029636215455286496,0.0
relief,-0.00011286681715583224,0.0007409053863821624,0.0
heart,0.0,0.001704082388679029,0.00041416442327602
eat,-0.00014108352144470704,0.0008890864636585949,0.0
skin,0.0,0.0003704526931911367,0.0
alway,5.643340857786061e-05,0.00044454323182929745,0.00020708221163801
crazi,-2.8216704288985817e-05,0.00044454323182929745,0.00020708221163801
complet,2.8216704288874794e-05,0.00022227161591470423,0.0
continu,-2.8216704288985817e-05,7.409053863827175e-05,0.00020708221163801
morn,-2.8216704288985817e-05,0.0005927243091057299,0.00020708221163801
onc,-0.00011286681715583224,0.0011854486182114599,0.00020708221163801
mani,0.0,0.0011113580795732991,0.0
right,0.0,-0.00014818107727632146,0.0
discontinu,2.8216704288874794e-05,0.00029636215455286496,0.00041416442327602
heavi,0.0,0.0008149959250204342,0.0
way,5.643340857786061e-05,0.00014818107727643248,0.0
loss,0.0,-7.409053863816073e-05,0.0
med,5.643340857786061e-05,0.00014818107727643248,0.0
bloat,2.8216704288874794e-05,0.00022227161591470423,0.00020708221163801
old,-5.643340857797163e-05,0.0008890864636585949,0.0
shot,0.0,0.0003704526931911367,0.0
worth,0.0,0.0003704526931911367,0.0
read,-5.643340857797163e-05,-0.00014818107727632146,0.00020708221163801
irrit,0.0,0.00029636215455286496,0.0
leg,0.0,0.0005186337704675692,0.00020708221163801
dure,-2.8216704288985817e-05,-0.0002222716159145932,0.0
final,-2.8216704288985817e-05,0.0007409053863821624,0.0
weak,-0.00011286681715583224,0.0005927243091057299,0.0
els,8.46501128667354e-05,7.409053863827175e-05,0.0
issu,-2.8216704288985817e-05,0.00029636215455286496,0.0
today,0.0,0.00022227161591470423,0.0
emot,-5.643340857797163e-05,-0.00029636215455275394,0.0
result,-2.8216704288985817e-05,0.0012595391568497316,0.0
point,-2.8216704288985817e-05,7.409053863827175e-05,0.00020708221163801
insert,5.643340857786061e-05,-7.409053863816073e-05,0.0
bit,0.00011286681715572122,0.0007409053863821624,0.0
chest,-5.643340857797163e-05,0.00044454323182929745,0.0
face,0.0,0.00014818107727643248,0.0
hair,-0.00011286681715583224,0.0003704526931911367,0.0
hurt,-0.00016930022573369286,0.00029636215455286496,0.0
7,-5.643340857797163e-05,-7.409053863816073e-05,0.0
stay,-5.643340857797163e-05,0.0005186337704675692,0.0
coupl,-0.00011286681715583224,0.00022227161591470423,0.00020708221163801
migrain,-2.8216704288985817e-05,7.409053863827175e-05,0.0
wasnt,5.643340857786061e-05,0.00014818107727643248,0.0
improv,0.0,0.00044454323182929745,0.00020708221163801
light,2.8216704288874794e-05,7.409053863827175e-05,0.0
money,5.643340857786061e-05,0.0007409053863821624,0.00020708221163801
save,-2.8216704288985817e-05,0.0008149959250204342,0.00041416442327602
decid,-2.8216704288985817e-05,-7.409053863816073e-05,0.0
hard,2.8216704288874794e-05,-7.409053863816073e-05,0.00020708221163801
soon,5.643340857786061e-05,0.00044454323182929745,0.0
appetit,0.0,0.0,0.0
moodi,0.0,-0.0002222716159145932,0.0
disappoint,2.8216704288874794e-05,0.0008149959250204342,0.0
pretti,-5.643340857797163e-05,0.0007409053863821624,0.0
half,0.0,7.409053863827175e-05,0.0
peopl,0.0,0.00014818107727643248,0.0
